session_id,person_id,source,label,audio_file,start_time,end_time
session_debug_cough_001,P_DEBUG_001,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000001.wav,0.000000,9.780000
session_debug_cough_002,P_DEBUG_002,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000002.wav,0.000000,4.500000
session_debug_cough_003,P_DEBUG_003,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000003.wav,0.000000,9.840000
session_debug_cough_004,P_DEBUG_004,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000004.wav,0.000000,7.260000
session_debug_cough_005,P_DEBUG_005,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000005.wav,0.000000,9.780000
session_debug_cough_006,P_DEBUG_006,data/raw/audio_debug,cough,data/raw/audio_debug/cough_000006.wav,0.000000,9.840000
session_debug_non_cough_001,P_DEBUG_007,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100.wav,0.000000,18.553062
session_debug_non_cough_002,P_DEBUG_008,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100011.wav,0.000000,8.247438
session_debug_non_cough_003,P_DEBUG_009,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100017.wav,0.000000,9.422937
session_debug_non_cough_004,P_DEBUG_010,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100018.wav,0.000000,18.170313
session_debug_non_cough_005,P_DEBUG_011,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100036.wav,0.000000,7.450000
session_debug_non_cough_006,P_DEBUG_012,data/raw/audio_debug,non_cough,data/raw/audio_debug/non_cough_100039.wav,0.000000,5.000000
