"clip_id","session_id","person_id","start_time","end_time","label","audio_file"
"debug_cough_001","session_debug_cough_001","person_debug_cough_001","0.0","1.0","cough","cough_000001.wav"
"debug_cough_002","session_debug_cough_002","person_debug_cough_002","0.0","1.0","cough","cough_000002.wav"
"debug_cough_003","session_debug_cough_003","person_debug_cough_003","0.0","1.0","cough","cough_000003.wav"
"debug_cough_004","session_debug_cough_004","person_debug_cough_004","0.0","1.0","cough","cough_000004.wav"
"debug_cough_005","session_debug_cough_005","person_debug_cough_005","0.0","1.0","cough","cough_000005.wav"
"debug_cough_006","session_debug_cough_006","person_debug_cough_006","0.0","1.0","cough","cough_000006.wav"
"debug_non_cough_001","session_debug_non_cough_001","person_debug_non_cough_001","0.0","1.0","non_cough","non_cough_100.wav"
"debug_non_cough_002","session_debug_non_cough_002","person_debug_non_cough_002","0.0","1.0","non_cough","non_cough_100011.wav"
"debug_non_cough_003","session_debug_non_cough_003","person_debug_non_cough_003","0.0","1.0","non_cough","non_cough_100017.wav"
"debug_non_cough_004","session_debug_non_cough_004","person_debug_non_cough_004","0.0","1.0","non_cough","non_cough_100018.wav"
"debug_non_cough_005","session_debug_non_cough_005","person_debug_non_cough_005","0.0","1.0","non_cough","non_cough_100036.wav"
"debug_non_cough_006","session_debug_non_cough_006","person_debug_non_cough_006","0.0","1.0","non_cough","non_cough_100039.wav"
