clip_id,session_id,person_id,start_time,end_time,label,audio_file,split,hard_negative,change_reason,sample_weight,source,hard_negative_source,review_batch,review_id,review_file,source_audio,source_start_time,source_end_time,derived_review_class,baseline_cough_prob,yamnet_top1,yamnet_top1_score,notes
clip_cough_0001,session_cough_0001,P_FORMAL_001,0.0,9.78,cough,data/formal_audio_50/cough_0001.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0002,session_cough_0002,P_FORMAL_002,0.0,4.5,cough,data/formal_audio_50/cough_0002.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0003,session_cough_0003,P_FORMAL_003,0.0,9.84,cough,data/formal_audio_50/cough_0003.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0004,session_cough_0004,P_FORMAL_004,0.0,7.26,cough,data/formal_audio_50/cough_0004.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0005,session_cough_0005,P_FORMAL_005,0.0,9.78,cough,data/formal_audio_50/cough_0005.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0006,session_cough_0006,P_FORMAL_006,0.0,9.84,cough,data/formal_audio_50/cough_0006.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0007,session_cough_0007,P_FORMAL_007,0.0,9.84,cough,data/formal_audio_50/cough_0007.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0008,session_cough_0008,P_FORMAL_008,0.0,7.5,cough,data/formal_audio_50/cough_0008.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0009,session_cough_0009,P_FORMAL_009,0.0,9.9,cough,data/formal_audio_50/cough_0009.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0010,session_cough_0010,P_FORMAL_010,0.0,1.44,cough,data/formal_audio_50/cough_0010.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0011,session_cough_0011,P_FORMAL_011,0.0,9.9,cough,data/formal_audio_50/cough_0011.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0012,session_cough_0012,P_FORMAL_012,0.0,4.26,cough,data/formal_audio_50/cough_0012.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0013,session_cough_0013,P_FORMAL_013,0.0,9.96,cough,data/formal_audio_50/cough_0013.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0014,session_cough_0014,P_FORMAL_014,0.0,9.78,cough,data/formal_audio_50/cough_0014.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0015,session_cough_0015,P_FORMAL_015,0.0,9.6,cough,data/formal_audio_50/cough_0015.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0016,session_cough_0016,P_FORMAL_016,0.0,9.96,cough,data/formal_audio_50/cough_0016.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
clip_cough_0017,session_cough_0017,P_FORMAL_017,0.0,9.84,cough,data/formal_audio_50/cough_0017.wav,train,False,unchanged,1.0,,,,,,,,,,,,,
